"","area_fips","own_code","industry_code","year","qtr","qtrly_estabs","total_qtrly_wages","avg_wkly_wage","lq_disclosure_code","month","emp","month1","ym","state"
"1",9001,"5",448,"1997",1,553,1.20308971872105e-316,353,"",1,5525,1,Jan 1997,9
"2",9001,"5",448,"1997",1,553,1.20308971872105e-316,353,"",2,5229,2,Feb 1997,9
"3",9001,"5",448,"1997",1,553,1.20308971872105e-316,353,"",3,5185,3,Mar 1997,9
"4",9001,"5",448,"1997",2,542,1.18527217992852e-316,356,"",1,5092,4,Apr 1997,9
"5",9001,"5",448,"1997",2,542,1.18527217992852e-316,356,"",2,5197,5,May 1997,9
"6",9001,"5",448,"1997",2,542,1.18527217992852e-316,356,"",3,5253,6,Jun 1997,9
"7",9001,"5",448,"1997",3,545,1.20767217758623e-316,342,"",1,5310,7,Jul 1997,9
"8",9001,"5",448,"1997",3,545,1.20767217758623e-316,342,"",2,5564,8,Aug 1997,9
"9",9001,"5",448,"1997",3,545,1.20767217758623e-316,342,"",3,5599,9,Sep 1997,9
"10",9001,"5",448,"1997",4,528,1.7944640144324e-316,455,"",1,5716,10,Oct 1997,9
"11",9001,"5",448,"1997",4,528,1.7944640144324e-316,455,"",2,6100,11,Nov 1997,9
"12",9001,"5",448,"1997",4,528,1.7944640144324e-316,455,"",3,6599,12,Dec 1997,9
"13",9001,"5",448,"1998",1,543,1.28173592813766e-316,347,"",1,5982,1,Jan 1998,9
"14",9001,"5",448,"1998",1,543,1.28173592813766e-316,347,"",2,5587,2,Feb 1998,9
"15",9001,"5",448,"1998",1,543,1.28173592813766e-316,347,"",3,5667,3,Mar 1998,9
"16",9001,"5",448,"1998",2,530,1.26859625228651e-316,357,"",1,5424,4,Apr 1998,9
"17",9001,"5",448,"1998",2,530,1.26859625228651e-316,357,"",2,5552,5,May 1998,9
"18",9001,"5",448,"1998",2,530,1.26859625228651e-316,357,"",3,5642,6,Jun 1998,9
"19",9001,"5",448,"1998",3,530,1.57921912813238e-316,431,"",1,5727,7,Jul 1998,9
"20",9001,"5",448,"1998",3,530,1.57921912813238e-316,431,"",2,5721,8,Aug 1998,9
"21",9001,"5",448,"1998",3,530,1.57921912813238e-316,431,"",3,5654,9,Sep 1998,9
"22",9001,"5",448,"1998",4,540,1.68153631908063e-316,421,"",1,5716,10,Oct 1998,9
"23",9001,"5",448,"1998",4,540,1.68153631908063e-316,421,"",2,6195,11,Nov 1998,9
"24",9001,"5",448,"1998",4,540,1.68153631908063e-316,421,"",3,6763,12,Dec 1998,9
"25",9001,"5",448,"1999",1,542,1.22589094708976e-316,343,"",1,5818,1,Jan 1999,9
"26",9001,"5",448,"1999",1,542,1.22589094708976e-316,343,"",2,5454,2,Feb 1999,9
"27",9001,"5",448,"1999",1,542,1.22589094708976e-316,343,"",3,5440,3,Mar 1999,9
"28",9001,"5",448,"1999",2,541,1.26931398145023e-316,365,"",1,5335,4,Apr 1999,9
"29",9001,"5",448,"1999",2,541,1.26931398145023e-316,365,"",2,5404,5,May 1999,9
"30",9001,"5",448,"1999",2,541,1.26931398145023e-316,365,"",3,5514,6,Jun 1999,9
"31",9001,"5",448,"1999",3,531,1.60742355721713e-316,469,"",1,5343,7,Jul 1999,9
"32",9001,"5",448,"1999",3,531,1.60742355721713e-316,469,"",2,5369,8,Aug 1999,9
"33",9001,"5",448,"1999",3,531,1.60742355721713e-316,469,"",3,5301,9,Sep 1999,9
"34",9001,"5",448,"1999",4,530,1.90983792760986e-316,499,"",1,5480,10,Oct 1999,9
"35",9001,"5",448,"1999",4,530,1.90983792760986e-316,499,"",2,5884,11,Nov 1999,9
"36",9001,"5",448,"1999",4,530,1.90983792760986e-316,499,"",3,6509,12,Dec 1999,9
"37",9001,"5",448,"2000",1,528,1.33205122766418e-316,375,"",1,5785,1,Jan 2000,9
