District 1,989,621,250,2490,4350,832,1064,311,72,1447,221,3307,2490,5797,15143,4996,261,86,Budapest,District 1
District 2,4759,3205,1318,9197,18479,2506,3108,1301,262,4671,613,13953,9197,23150,63711,22082,275,95,Budapest,District 2
District 3,7314,4908,1472,11675,25369,4754,5982,2354,490,8826,1068,22520,11675,34195,93741,34177,274,100,Budapest,District 3
District 4,6319,4276,1113,8566,20274,4351,4649,1835,360,6844,809,18552,8566,27118,75344,27952,278,103,Budapest,District 4
District 5,819,457,155,2805,4236,985,1311,277,66,1654,232,3085,2805,5890,14462,4336,246,74,Budapest,District 5
District 6,1374,749,270,4179,6572,2128,2012,401,102,2515,320,4908,4179,9087,22594,6935,249,76,Budapest,District 6
District 7,2087,1112,441,5873,9513,3232,3042,688,173,3903,523,7543,5873,13416,33711,10782,251,80,Budapest,District 7
District 8,2982,1758,720,7367,12827,4243,3865,1065,335,5265,640,10725,7367,18092,47045,16126,260,89,Budapest,District 8
District 9,2484,1406,430,6562,10882,3451,2940,689,212,3841,469,8161,6562,14723,37367,11762,254,80,Budapest,District 9
District 10,4658,2732,895,6990,15275,3767,3624,1414,337,5375,646,13660,6990,20650,56561,20636,274,100,Budapest,District 10
District 11,6409,4520,1394,14838,27161,5200,5838,1812,369,8019,1009,20342,14838,35180,93018,30677,264,87,Budapest,District 11
District 12,2719,1990,830,6127,11666,1666,2154,779,181,3114,422,8653,6127,14780,40210,13764,272,93,Budapest,District 12
District 13,5464,3187,770,12856,22277,5935,5862,1471,293,7626,976,17047,12856,29903,76340,24160,255,81,Budapest,District 13
District 14,5955,3909,1011,13089,23964,5550,5742,1650,279,7671,897,18546,13089,31635,82595,26996,261,85,Budapest,District 14
District 15,4856,3173,846,7207,16082,3482,4018,1451,303,5772,710,14647,7207,21854,59781,21845,274,100,Budapest,District 15
District 16,4519,3560,1075,6958,16112,2354,2692,1142,247,4081,574,13235,6958,20193,57229,20924,283,104,Budapest,District 16
District 17,5473,4577,1385,7479,18914,2991,3267,1438,354,5059,721,16494,7479,23973,69360,26473,289,110,Budapest,District 17
District 18,6130,4709,1421,9232,21492,4080,4226,1666,353,6245,878,18505,9232,27737,78174,28945,282,104,Budapest,District 18
