,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
District 1,4311.0,1442.0,5753.0,22.0,22.0,5775.0,7606.0,6988.0,13381.0,Budapest,District 1
District 2,18198.0,4645.0,22843.0,152.0,149.0,22995.0,18759.0,17441.0,41754.0,Budapest,District 2
District 3,24867.0,8754.0,33621.0,286.0,284.0,33907.0,24168.0,22193.0,58075.0,Budapest,District 3
District 4,19838.0,6777.0,26615.0,249.0,244.0,26864.0,17639.0,16219.0,44503.0,Budapest,District 4
District 5,4183.0,1645.0,5828.0,31.0,31.0,5859.0,8760.0,7974.0,14619.0,Budapest,District 5
District 6,6498.0,2493.0,8991.0,48.0,48.0,9039.0,12954.0,11657.0,21993.0,Budapest,District 6
District 7,9338.0,3869.0,13207.0,103.0,101.0,13310.0,17584.0,15692.0,30894.0,Budapest,District 7
District 8,12521.0,5206.0,17727.0,180.0,175.0,17907.0,21378.0,19048.0,39285.0,Budapest,District 8
District 9,10690.0,3813.0,14503.0,107.0,102.0,14610.0,19025.0,17027.0,33635.0,Budapest,District 9
District 10,14892.0,5310.0,20202.0,220.0,212.0,20422.0,15531.0,14104.0,35953.0,Budapest,District 10
District 11,26774.0,7964.0,34738.0,219.0,215.0,34957.0,34876.0,32262.0,69833.0,Budapest,District 11
District 12,11542.0,3102.0,14644.0,68.0,68.0,14712.0,13595.0,12748.0,28307.0,Budapest,District 12
District 13,21973.0,7589.0,29562.0,168.0,163.0,29730.0,33934.0,31132.0,63664.0,Budapest,District 13
District 14,23646.0,7621.0,31267.0,182.0,178.0,31449.0,33214.0,30701.0,64663.0,Budapest,District 14
District 15,15666.0,5722.0,21388.0,227.0,215.0,21615.0,14317.0,12936.0,35932.0,Budapest,District 15
District 16,15437.0,4006.0,19443.0,370.0,360.0,19813.0,9918.0,8992.0,29731.0,Budapest,District 16
District 17,18161.0,4987.0,23148.0,406.0,394.0,23554.0,9731.0,8692.0,33285.0,Budapest,District 17
District 18,20712.0,6150.0,26862.0,433.0,425.0,27295.0,14797.0,13522.0,42092.0,Budapest,District 18
District 19,12025.0,3958.0,15983.0,233.0,224.0,16216.0,9946.0,9008.0,26162.0,Budapest,District 19
District 20,12936.0,4079.0,17015.0,294.0,277.0,17309.0,11907.0,10908.0,29216.0,Budapest,District 20
District 21,15031.0,5171.0,20202.0,245.0,235.0,20447.0,11883.0,10805.0,32330.0,Budapest,District 21
District 22,11430.0,3098.0,14528.0,191.0,187.0,14719.0,7226.0,6562.0,21945.0,Budapest,District 22
District 23,4310.0,1277.0,5587.0,121.0,117.0,5708.0,2748.0,2504.0,8456.0,Budapest,District 23
Capital total,334979.0,108678.0,443657.0,4555.0,4426.0,448212.0,371496.0,339115.0,819708.0,Budapest,Capital total
Towns of county right,30838,8929,39767,495,480,40262,28796,26277,69058,Baranya county,Towns of county right
Other towns,21430,5253,26683,522,515,27205,13439,12261,40644,Baranya county,Other towns
Towns together,52268,14182,66450,1017,995,67467,42235,38538,109702,Baranya county,Towns together
Villages,28606,6029,34635,1240,1217,35875,14463,12796,50338,Baranya county,Villages
County total,80874,20211,101085,2257,2212,103342,56698,51334,160040,Baranya county,County total
Districts,,,,,,,,,,Baranya county,Districts
J01 Bólyi,2652,413,3065,112,111,3177,1159,1038,4336,Baranya county,J01 Bólyi
J02 Hegyháti,2817,587,3404,105,103,3509,1429,1272,4938,Baranya county,J02 Hegyháti
J03 Komlói,7831,2038,9869,148,147,10017,5560,5110,15577,Baranya county,J03 Komlói
J04 Mohácsi,7651,1744,9395,254,250,9649,4773,4338,14422,Baranya county,J04 Mohácsi
J05 Pécsi,38127,10326,48453,789,767,49242,31820,28933,81062,Baranya county,J05 Pécsi
J06 Pécsváradi,2653,494,3147,122,120,3269,1275,1128,4544,Baranya county,J06 Pécsváradi
J07 Sellyei,2981,716,3697,123,123,3820,1636,1451,5456,Baranya county,J07 Sellyei
J08 Siklósi,7677,1831,9508,303,296,9811,4394,3909,14205,Baranya county,J08 Siklósi
J09 Szentlõrinci,3161,722,3883,120,118,4003,1602,1415,5605,Baranya county,J09 Szentlõrinci
J10 Szigetvári,5324,1340,6664,181,177,6845,3050,2740,9895,Baranya county,J10 Szigetvári
Statistical micro-regions,,,,,,,,,,Baranya county,Statistical micro-regions
K01 Komlói,8376,2114,10490,175,173,10665,5732,5257,16397,Baranya county,K01 Komlói
K02 Mohácsi,10495,2191,12686,375,370,13061,6034,5467,19095,Baranya county,K02 Mohácsi
K03 Pécsi,37304,10173,47477,753,733,48230,31473,28631,79703,Baranya county,K03 Pécsi
K04 Pécsváradi,2715,534,3249,128,125,3377,1318,1162,4695,Baranya county,K04 Pécsváradi
K05 Sásdi,3059,642,3701,118,116,3819,1556,1379,5375,Baranya county,K05 Sásdi
K06 Sellyei,2763,664,3427,104,104,3531,1539,1374,5070,Baranya county,K06 Sellyei
K07 Siklósi,7677,1831,9508,303,296,9811,4394,3909,14205,Baranya county,K07 Siklósi
K08 Szentlõrinci,3092,709,3801,119,117,3920,1558,1371,5478,Baranya county,K08 Szentlõrinci
K09 Szigetvári,5393,1353,6746,182,178,6928,3094,2784,10022,Baranya county,K09 Szigetvári
Size-groups of population,,,,,,,,,,Baranya county,Size-groups of population
Towns,,,,,,,,,,Baranya county,Towns
Together,52268,14182,66450,1017,995,67467,42235,38538,109702,Baranya county,Together
Villages,,,,,,,,,,Baranya county,Villages
  199 and less,2522,652,3174,122,121,3296,1725,1554,5021,Baranya county,  199 and less
Together,28606,6029,34635,1240,1217,35875,14463,12796,50338,Baranya county,Together
Total,80874,20211,101085,2257,2212,103342,56698,51334,160040,Baranya county,Total
Of which:,,,,,,,,,,Baranya county,Of which:
Data of localities,,,,,,,,,,Baranya county,Data of localities
County seat,,,,,,,,,,Baranya county,County seat
J05 K03 Pécs,30838,8929,39767,495,480,40262,28796,26277,69058,Baranya county,J05 K03 Pécs
Other towns,,,,,,,,,,Baranya county,Other towns
J01 K02 Bóly,880,123,1003,32,31,1035,389,360,1424,Baranya county,J01 K02 Bóly
J08 K07 Harkány,879,217,1096,23,23,1119,631,581,1750,Baranya county,J08 K07 Harkány
J03 K01 Komló,5198,1577,6775,50,50,6825,4245,3943,11070,Baranya county,J03 K01 Komló
J05 K03 Kozármisleny,1396,231,1627,48,46,1675,415,365,2090,Baranya county,J05 K03 Kozármisleny
J02 K05 Mágocs,555,92,647,25,24,672,267,239,939,Baranya county,J02 K05 Mágocs
J04 K02 Mohács,3837,962,4799,84,84,4883,2712,2487,7595,Baranya county,J04 K02 Mohács
J06 K04 Pécsvárad,894,164,1058,41,40,1099,379,348,1478,Baranya county,J06 K04 Pécsvárad
J02 K05 Sásd,736,159,895,34,33,929,362,330,1291,Baranya county,J02 K05 Sásd
J07 K06 Sellye,601,155,756,25,25,781,341,304,1122,Baranya county,J07 K06 Sellye
J08 K07 Siklós,2068,557,2625,43,42,2668,1287,1159,3955,Baranya county,J08 K07 Siklós
J09 K08 Szentlõrinc,1484,325,1809,50,50,1859,718,642,2577,Baranya county,J09 K08 Szentlõrinc
J10 K09 Szigetvár,2340,577,2917,48,48,2965,1428,1270,4393,Baranya county,J10 K09 Szigetvár
J08 K07 Villány,562,114,676,19,19,695,265,233,960,Baranya county,J08 K07 Villány
Villages,,,,,,,,,,Baranya county,Villages
J05 K03 Abaliget,130,29,159,.,.,159,89,82,248,Baranya county,J05 K03 Abaliget
J07 K06 Adorjás,41,2,43,1,1,44,12,10,56,Baranya county,J07 K06 Adorjás
J02 K05 Ág,42,7,49,.,.,49,18,14,67,Baranya county,J02 K05 Ág
J10 K09 Almamellék,82,14,96,6,5,102,44,36,146,Baranya county,J10 K09 Almamellék
J10 K09 Almáskeresztúr,15,7,22,.,.,22,19,18,41,Baranya county,J10 K09 Almáskeresztúr
J02 K05 Alsómocsolád,62,14,76,1,1,77,33,31,110,Baranya county,J02 K05 Alsómocsolád
J08 K07 Alsószentmárton,197,26,223,40,38,263,25,18,288,Baranya county,J08 K07 Alsószentmárton
J06 K04 Apátvarasd,21,3,24,5,5,29,7,4,36,Baranya county,J06 K04 Apátvarasd
J05 K03 Aranyosgadány,66,18,84,1,1,85,63,57,148,Baranya county,J05 K03 Aranyosgadány
J05 K03 Áta,37,6,43,4,4,47,30,25,77,Baranya county,J05 K03 Áta
J01 K02 Babarc,170,31,201,7,7,208,88,75,296,Baranya county,J01 K02 Babarc
J08 K07 Babarcszõlõs,22,4,26,1,1,27,15,14,42,Baranya county,J08 K07 Babarcszõlõs
J02 K05 Bakóca,63,17,80,.,.,80,41,34,121,Baranya county,J02 K05 Bakóca
J05 K03 Bakonya,69,18,87,3,3,90,46,41,136,Baranya county,J05 K03 Bakonya
J07 K03 Baksa,160,32,192,13,13,205,63,46,268,Baranya county,J07 K03 Baksa
J10 K09 Bánfa,43,5,48,1,1,49,22,20,71,Baranya county,J10 K09 Bánfa
J04 K02 Bár,123,28,151,4,4,155,81,69,236,Baranya county,J04 K02 Bár
J07 K06 Baranyahídvég,38,12,50,3,3,53,14,11,67,Baranya county,J07 K06 Baranyahídvég
J02 K05 Baranyajenõ,77,27,104,5,5,109,45,38,154,Baranya county,J02 K05 Baranyajenõ
J02 K05 Baranyaszentgyörgy,30,8,38,1,1,39,22,21,61,Baranya county,J02 K05 Baranyaszentgyörgy
J10 K09 Basal,37,8,45,3,3,48,18,18,66,Baranya county,J10 K09 Basal
J01 K02 Belvárdgyula,97,14,111,.,.,111,37,35,148,Baranya county,J01 K02 Belvárdgyula
J08 K07 Beremend,548,127,675,32,32,707,311,264,1018,Baranya county,J08 K07 Beremend
J05 K04 Berkesd,171,47,218,12,11,230,83,73,313,Baranya county,J05 K04 Berkesd
J07 K06 Besence,18,6,24,.,.,24,24,21,48,Baranya county,J07 K06 Besence
J04 K02 Bezedek,38,19,57,5,5,62,26,24,88,Baranya county,J04 K02 Bezedek
J09 K08 Bicsérd,226,40,266,12,12,278,89,72,367,Baranya county,J09 K08 Bicsérd
J03 K05 Bikal,184,32,216,10,10,226,93,79,319,Baranya county,J03 K05 Bikal
J05 K03 Birján,121,25,146,2,2,148,46,44,194,Baranya county,J05 K03 Birján
J08 K07 Bisse,48,15,63,1,1,64,37,34,101,Baranya county,J08 K07 Bisse
J09 K08 Boda,82,24,106,3,3,109,49,41,158,Baranya county,J09 K08 Boda
J03 K01 Bodolyabér,55,9,64,2,2,66,28,25,94,Baranya county,J03 K01 Bodolyabér
J05 K03 Bogád,237,45,282,9,9,291,88,77,379,Baranya county,J05 K03 Bogád
J07 K06 Bogádmindszent,83,19,102,8,8,110,23,17,133,Baranya county,J07 K06 Bogádmindszent
J07 K06 Bogdása,60,13,73,.,.,73,50,46,123,Baranya county,J07 K06 Bogdása
J10 K09 Boldogasszonyfa,87,27,114,4,4,118,54,51,172,Baranya county,J10 K09 Boldogasszonyfa
J01 K02 Borjád,89,18,107,1,1,108,40,34,148,Baranya county,J01 K02 Borjád
J05 K03 Bosta,20,14,34,2,2,36,17,13,53,Baranya county,J05 K03 Bosta
J10 K09 Botykapeterd,61,10,71,5,4,76,27,23,103,Baranya county,J10 K09 Botykapeterd
J09 K08 Bükkösd,244,49,293,10,8,303,139,119,442,Baranya county,J09 K08 Bükkösd
J10 K09 Bürüs,15,3,18,.,.,18,16,16,34,Baranya county,J10 K09 Bürüs
J08 K07 Cún,39,15,54,2,2,56,31,24,87,Baranya county,J08 K07 Cún
J07 K06 Csányoszró,152,39,191,2,2,193,73,63,266,Baranya county,J07 K06 Csányoszró
J08 K07 Csarnóta,30,6,36,1,1,37,16,11,53,Baranya county,J08 K07 Csarnóta
J10 K09 Csebény,18,4,22,1,1,23,13,13,36,Baranya county,J10 K09 Csebény
J09 K08 Cserdi,69,23,92,2,2,94,48,39,142,Baranya county,J09 K08 Cserdi
J05 K03 Cserkút,137,24,161,.,.,161,66,60,227,Baranya county,J05 K03 Cserkút
J10 K09 Csertõ,82,14,96,3,3,99,45,42,144,Baranya county,J10 K09 Csertõ
J09 K08 Csonkamindszent,35,8,43,2,2,45,16,15,61,Baranya county,J09 K08 Csonkamindszent
